"subject","event","date","memory","negative","positive","surprise","covid","datePlot"
140,"kobe","January",82,100,0,100,0,"JAN"
140,"nayaRivera","July",49,100,0,100,0,"JUL"
140,"olsenDivorce","May",0,0,0,0,0,"MAY"
140,"presBiden","November",81,0,100,18,0,"NOV"
140,"presDebates","October",38,50,15,0,0,"OCT"
140,"primaryNH","February",0,0,0,0,0,"FEB"
140,"secondStim","December",100,0,100,48,0,"DEC"
140,"soleimani","January",0,0,0,0,0,"JAN"
140,"thomBrenn","August",0,0,0,0,0,"AUG"
140,"toobinZoom","October",0,0,0,0,0,"OCT"
140,"trumpFraud","November",98,91,0,16,0,"NOV"
140,"trumpInterview","September",0,0,0,0,0,"SEP"
141,"BLM","June",86,30,30,10,0,"JUN"
141,"NFL","April",0,0,0,0,0,"APR"
141,"RBG","September",80,15,0,30,0,"SEP"
141,"baldwin","December",21,0,0,100,0,"DEC"
141,"barronTrump","June",14,0,0,0,0,"JUN"
141,"borisJCovid","April",30,0,14,0,0,"APR"
141,"caucusNV","February",0,0,0,0,0,"FEB"
141,"covid","March",70,51,0,52,1,"MAR"
141,"falwell","August",0,0,0,0,0,"AUG"
141,"firstStim","March",80,0,30,45,0,"MAR"
141,"georgeFloyd","May",86,72,0,13,0,"MAY"
141,"jadaSmith","July",0,0,0,0,0,"JUL"
141,"kobe","January",40,0,0,100,0,"JAN"
141,"nayaRivera","July",0,0,0,0,0,"JUL"
141,"olsenDivorce","May",0,0,0,0,0,"MAY"
141,"presBiden","November",100,0,50,60,0,"NOV"
141,"presDebates","October",93,52,52,0,0,"OCT"
141,"primaryNH","February",0,0,0,0,0,"FEB"
141,"secondStim","December",50,0,0,9,0,"DEC"
141,"soleimani","January",0,0,0,0,0,"JAN"
141,"thomBrenn","August",0,0,0,0,0,"AUG"
141,"toobinZoom","October",10,0,0,0,0,"OCT"
141,"trumpFraud","November",80,66,0,40,0,"NOV"
141,"trumpInterview","September",50,50,0,0,0,"SEP"
142,"BLM","June",100,0,95,20,0,"JUN"
142,"NFL","April",0,0,0,0,0,"APR"
142,"RBG","September",100,80,20,100,0,"SEP"
142,"baldwin","December",100,50,50,100,0,"DEC"
142,"barronTrump","June",0,0,0,0,0,"JUN"
142,"borisJCovid","April",100,0,0,60,0,"APR"
142,"caucusNV","February",0,0,0,0,0,"FEB"
142,"covid","March",100,90,0,100,1,"MAR"
142,"falwell","August",100,100,0,10,0,"AUG"
142,"firstStim","March",100,0,100,100,0,"MAR"
142,"georgeFloyd","May",100,100,0,70,0,"MAY"
142,"jadaSmith","July",0,0,0,0,0,"JUL"
142,"kobe","January",100,100,0,100,0,"JAN"
142,"nayaRivera","July",0,0,0,0,0,"JUL"
142,"olsenDivorce","May",0,0,0,0,0,"MAY"
142,"presBiden","November",100,0,100,0,0,"NOV"
