"subject","event","date","memory","negative","positive","surprise","covid","datePlot"
113,"jadaSmith","July",0,0,0,0,0,"JUL"
113,"kobe","January",64,78,0,73,0,"JAN"
113,"nayaRivera","July",17,30,0,23,0,"JUL"
113,"olsenDivorce","May",0,0,0,0,0,"MAY"
113,"presBiden","November",65,11,72,58,0,"NOV"
113,"presDebates","October",3,13,0,0,0,"OCT"
113,"primaryNH","February",10,0,18,0,0,"FEB"
113,"secondStim","December",48,0,56,5,0,"DEC"
113,"soleimani","January",14,38,0,18,0,"JAN"
113,"thomBrenn","August",0,0,0,0,0,"AUG"
113,"toobinZoom","October",3,0,0,0,0,"OCT"
113,"trumpFraud","November",64,87,0,5,0,"NOV"
113,"trumpInterview","September",0,0,0,0,0,"SEP"
114,"BLM","June",63,0,100,0,0,"JUN"
114,"NFL","April",0,0,0,0,0,"APR"
114,"RBG","September",0,0,0,0,0,"SEP"
114,"baldwin","December",0,0,0,0,0,"DEC"
114,"barronTrump","June",0,0,0,0,0,"JUN"
114,"borisJCovid","April",71,58,0,100,0,"APR"
114,"caucusNV","February",0,0,0,0,0,"FEB"
114,"covid","March",100,100,0,100,1,"MAR"
114,"falwell","August",0,0,0,0,0,"AUG"
114,"firstStim","March",0,0,0,0,0,"MAR"
114,"georgeFloyd","May",100,100,0,82,0,"MAY"
114,"jadaSmith","July",0,0,0,0,0,"JUL"
114,"kobe","January",100,100,0,100,0,"JAN"
114,"nayaRivera","July",0,0,0,0,0,"JUL"
