"pos_low-arousal","neg_low-arousal","pos_high-arousal","neg_high-arousal","pos_self","neg_self","order","wordOrder","words3"
0.894603128419454,-0.022585538802303,0.000585249938026274,-0.0572421914897715,0.0131306841396505,0.0706668857832403,12,82,"AnxS:ease"
0.861166609101689,0.00732016973108594,0.0654842651882268,-0.0140500899537845,-0.0498318086434016,-0.0521857560297779,6,81,"AnxS:content"
0.851397000307068,-0.040318351946679,0.0110369194649901,-0.0896474677134565,0.0189399695363622,0.0671623174677487,5,80,"AnxS:relaxed"
0.842974123783276,-0.00731062429067177,0.0480630753711179,-0.0361608470245998,-0.00958795257728158,-0.0164711978668617,2,79,"AnxS:comfortable"
0.789686157486265,-0.0200472072843432,-0.0272846327966561,-0.135072085666956,0.0736932945036334,0.0465555396326674,1,78,"AnxS:calm"
0.785194538757878,-0.0369686075406966,0.13066687672543,0.054433810254661,-0.0254705443788381,-0.0662310045463199,15,77,"AnxS:satisfied"
0.776699612527047,-0.030836491070657,0.139989516105061,-0.00543007504871904,-0.00811064099138885,-0.0206642566231673,9,76,"AnxS:pleasant"
0.75966966944596,-0.00741275212490818,0.0635813507098815,-0.0338403226078215,0.0504709094400099,-0.0575787395052389,8,75,"AnxS:secure"
0.62775005683685,-0.0263201602991658,0.145606276748986,-0.0559920352868204,0.12813851765316,0.0209084355469724,7,74,"AnxS:steady"
0.561121248789507,-0.0130828695106356,-0.0260868712120633,0.0896624920156487,0.162853574002415,-0.269711039702482,24,73,"AnxT:content"
0.506126055884725,-0.0875495873802154,0.0214358894099544,0.0346468590778207,0.194299228129601,-0.178075970125458,17,72,"AnxT:pleasant"
0.458205846687962,-0.0154971656099426,0.0197930168491244,0.0964254479682481,0.206103845144765,-0.299679114163589,21,71,"AnxT:secure"
0.447460494905237,-0.0619724729922845,0.0777591285800046,0.108096266238079,0.192413901985381,-0.247345428033145,18,70,"AnxT:happy"
0.383104089347616,-0.217274246617643,0.0471454290984467,0.0246873526367694,0.0802259048732643,-0.103166890795299,30,69,"AnxT:rested"
-0.351913866160164,0.0594185169269842,-0.206938907216633,0.182701942464675,0.0119184407059627,0.0156634310712965,82,68,"face: pos-neg"
0.31152592033175,-0.143486270548349,0.0238674900081494,0.029009777739889,0.202271957090857,-0.19060049089703,70,67,"PSS:things going your way"
-0.00527409225834941,0.766157612503709,-0.0560170256597503,0.0526409280369842,-0.00442232554475386,-0.0294667615970099,45,66,"BDI:fatigue"
-0.0159388382000358,0.765128937859218,-0.0593346001741325,-0.00679618830317066,-0.00656542283596423,0.0337239531769897,39,65,"BDI:loss of energy"
0.019151141568098,0.753131374207419,-0.0751296721166443,-0.0491251105056116,0.0139621836111869,0.11038519345155,36,64,"BDI:loss of interest"
-0.117187347789306,0.718471374962008,-0.0189307618366352,-0.0380007112512625,0.037321130313777,0.0810765021205614,48,63,"BDI:loss of pleasure"
0.0263413540362285,0.664976498420643,-0.0378704027497757,0.107043080340987,-0.0747862817191634,0.0594588644553317,43,62,"BDI:bad concentration"
0.039508207369049,0.609300310133419,-0.0666413137827319,-0.0458065735289595,0.00954133914710861,-0.0474120096773282,46,61,"BDI:loss of interest in sex"
0.0571822589043934,0.579155208503292,0.0214769719113933,0.0214933542642577,-0.165212605793418,0.126844713943756,37,60,"BDI:indecisiveness"
-0.0279837823823375,0.567029399219361,-0.0250160720588569,0.118652772311472,-0.0474053469217397,-0.0382271869270013,41,59,"BDI:irritability"
-0.0545317162667146,0.527477704638341,0.0486066382317329,0.116425839978219,-0.0813973906153439,-0.00595993840385783,35,58,"BDI:agitation"
0.0125573909459254,0.460915976595635,-0.0195005175388674,0.0352824752575628,0.00114983872032827,0.0601872859029108,42,57,"BDI:appetite changes"
-0.120813921560313,0.436370779217611,0.0622513839281243,-0.00040711118525414,-0.0219620653430909,-0.0405885483546475,40,56,"BDI:sleep changes"
-0.0134245803160554,0.365999537149335,-0.0537440585727553,0.0647195208236471,0.0354899308623977,0.175884540132002,34,55,"BDI:crying"
0.0820720139323564,-0.0417551177615608,0.793785715408163,-0.045867485570993,-0.0422719128879695,0.000610241164187765,68,54,"PANAS:enthusiastic"
-0.0355534200333827,-0.0953404157598657,0.79034212333865,0.0464546814577412,0.036638571286262,0.0340144516240282,57,53,"PANAS:inspired"
-0.00855095889993504,-0.0809370809685719,0.748681674641121,0.0283768909089291,0.000372265760866131,0.03254977172236,61,52,"PANAS:active"
0.0588849142460866,-0.0852030238341968,0.737839754674144,0.0738405553366776,-0.124584953340136,0.00234445657871802,63,51,"PANAS:excited"
0.0297326429918584,0.0369693801005956,0.713829159398471,-0.0102466729698985,0.0568301904527282,-0.0972388578699669,55,50,"PANAS:proud"
-0.0194550273039859,0.0109227974623397,0.711016069595975,-0.0499327299829147,0.129158744543232,-0.0396980777310587,58,49,"PANAS:determined"
0.11641555152553,0.0584203363274838,0.67405585146647,-0.105562657385832,0.00300629131817165,-0.0451258620626816,54,48,"PANAS:interested"
0.0669633063773268,-0.0188973073644295,0.651330011279805,0.0266825923433774,0.1428069228116,-0.0926850280422759,65,47,"PANAS:strong"
0.0632525694028637,0.0478076345523217,0.590666677884386,-0.102923610999639,0.0773029482818182,0.0256308617792321,59,46,"PANAS:attentive"
0.0582752399045021,0.0616017782984009,0.576798308962596,-0.049828255313888,0.0909742245250608,0.0714105652547218,56,45,"PANAS:alert"
0.0527640241929609,-0.0394078718211293,-0.0453325207467704,0.870419721030225,-0.0103649449825119,0.0569860809591786,66,44,"PANAS:scared"
