"date","topic","entryCount","topic_totalCount","topic_monthCount","topic_propTopic","topic_propMonth","set","entryCount_total","topic_propTotal","datePlot"
"March","covid-news",86,208,465,0.413461538,0.184946237,"2020+1",2137,0.0402433317735143,"MAR"
"March","covid-onset",56,126,465,0.444444444,0.120430108,"2020+1",2137,0.0262049602246139,"MAR"
"March","election",5,97,465,0.051546392,0.010752688,"2020+1",2137,0.00233972859148339,"MAR"
"March","occupation",42,162,465,0.259259259,0.090322581,"2020+1",2137,0.0196537201684605,"MAR"
"March","social",47,464,465,0.101293103,0.101075269,"2020+1",2137,0.0219934487599438,"MAR"
"May","BLM",11,79,136,0.139240506,0.080882353,"2020+1",2137,0.00514740290126345,"MAY"
"May","covid",56,860,136,0.065116279,0.411764706,"2020+1",2137,0.0262049602246139,"MAY"
"May","covid-news",9,208,136,0.043269231,0.066176471,"2020+1",2137,0.0042115114646701,"MAY"
"May","covid-onset",3,126,136,0.023809524,0.022058824,"2020+1",2137,0.00140383715489003,"MAY"
"May","election",3,97,136,0.030927835,0.022058824,"2020+1",2137,0.00140383715489003,"MAY"
"May","occupation",18,162,136,0.111111111,0.132352941,"2020+1",2137,0.0084230229293402,"MAY"
"May","social",28,464,136,0.060344828,0.205882353,"2020+1",2137,0.013102480112307,"MAY"
"November","BLM",5,79,165,0.063291139,0.03030303,"2020+1",2137,0.00233972859148339,"NOV"
"November","covid",47,860,165,0.054651163,0.284848485,"2020+1",2137,0.0219934487599438,"NOV"
"November","covid-news",8,208,165,0.038461538,0.048484848,"2020+1",2137,0.00374356574637342,"NOV"
"November","covid-onset",1,126,165,0.007936508,0.006060606,"2020+1",2137,0.000467945718296678,"NOV"
"November","election",56,97,165,0.577319588,0.339393939,"2020+1",2137,0.0262049602246139,"NOV"
"November","occupation",2,162,165,0.012345679,0.012121212,"2020+1",2137,0.000935891436593355,"NOV"
"November","social",36,464,165,0.077586207,0.218181818,"2020+1",2137,0.0168460458586804,"NOV"
"October","BLM",1,79,73,0.012658228,0.01369863,"2020+1",2137,0.000467945718296678,"OCT"
"October","covid",20,860,73,0.023255814,0.273972603,"2020+1",2137,0.00935891436593355,"OCT"
"October","covid-news",3,208,73,0.014423077,0.04109589,"2020+1",2137,0.00140383715489003,"OCT"
"October","covid-onset",1,126,73,0.007936508,0.01369863,"2020+1",2137,0.000467945718296678,"OCT"
"October","election",6,97,73,0.06185567,0.082191781,"2020+1",2137,0.00280767430978007,"OCT"
"October","occupation",9,162,73,0.055555556,0.123287671,"2020+1",2137,0.0042115114646701,"OCT"
"October","social",29,464,73,0.0625,0.397260274,"2020+1",2137,0.0135704258306037,"OCT"
"September","BLM",3,79,89,0.037974684,0.033707865,"2020+1",2137,0.00140383715489003,"SEP"
"September","covid",34,860,89,0.039534884,0.382022472,"2020+1",2137,0.015910154422087,"SEP"
"September","covid-news",3,208,89,0.014423077,0.033707865,"2020+1",2137,0.00140383715489003,"SEP"
"September","covid-onset",4,126,89,0.031746032,0.04494382,"2020+1",2137,0.00187178287318671,"SEP"
"September","election",3,97,89,0.030927835,0.033707865,"2020+1",2137,0.00140383715489003,"SEP"
"September","occupation",7,162,89,0.043209877,0.078651685,"2020+1",2137,0.00327562002807674,"SEP"
"September","social",27,464,89,0.058189655,0.303370787,"2020+1",2137,0.0126345343940103,"SEP"
"April","covid",49,426,171,0.115023474,0.286549708,"2020+2",1658,0.0295536791314837,"APR"
"April","covid-news",9,138,171,0.065217391,0.052631579,"2020+2",1658,0.00542822677925211,"APR"
"April","covid-onset",14,75,171,0.186666667,0.081871345,"2020+2",1658,0.00844390832328106,"APR"
"April","domestic",9,52,171,0.173076923,0.052631579,"2020+2",1658,0.00542822677925211,"APR"
"April","election",4,112,171,0.035714286,0.023391813,"2020+2",1658,0.00241254523522316,"APR"
"April","occupation",48,350,171,0.137142857,0.280701754,"2020+2",1658,0.0289505428226779,"APR"
"April","social",22,302,171,0.072847682,0.128654971,"2020+2",1658,0.0132689987937274,"APR"
"August","covid",6,426,60,0.014084507,0.1,"2020+2",1658,0.00361881785283474,"AUG"
"August","covid-news",2,138,60,0.014492754,0.033333333,"2020+2",1658,0.00120627261761158,"AUG"
"August","covid-onset",1,75,60,0.013333333,0.016666667,"2020+2",1658,0.00060313630880579,"AUG"
"August","domestic",1,52,60,0.019230769,0.016666667,"2020+2",1658,0.00060313630880579,"AUG"
"August","occupation",19,350,60,0.054285714,0.316666667,"2020+2",1658,0.01145958986731,"AUG"
"August","social",19,302,60,0.062913907,0.316666667,"2020+2",1658,0.01145958986731,"AUG"
"December","covid",8,426,59,0.018779343,0.13559322,"2020+2",1658,0.00482509047044632,"DEC"
"December","domestic",2,52,59,0.038461538,0.033898305,"2020+2",1658,0.00120627261761158,"DEC"
"December","election",4,112,59,0.035714286,0.06779661,"2020+2",1658,0.00241254523522316,"DEC"
"December","occupation",12,350,59,0.034285714,0.203389831,"2020+2",1658,0.00723763570566948,"DEC"
"December","social",27,302,59,0.089403974,0.457627119,"2020+2",1658,0.0162846803377563,"DEC"
"February","covid",25,426,108,0.058685446,0.231481481,"2020+2",1658,0.0150784077201448,"FEB"
"February","covid-news",25,138,108,0.18115942,0.231481481,"2020+2",1658,0.0150784077201448,"FEB"
"February","covid-onset",1,75,108,0.013333333,0.009259259,"2020+2",1658,0.00060313630880579,"FEB"
"February","domestic",1,52,108,0.019230769,0.009259259,"2020+2",1658,0.00060313630880579,"FEB"
"February","election",5,112,108,0.044642857,0.046296296,"2020+2",1658,0.00301568154402895,"FEB"
"February","occupation",10,350,108,0.028571429,0.092592593,"2020+2",1658,0.0060313630880579,"FEB"
"February","social",30,302,108,0.099337748,0.277777778,"2020+2",1658,0.0180940892641737,"FEB"
"January","covid",19,426,131,0.044600939,0.145038168,"2020+2",1658,0.01145958986731,"JAN"
"January","covid-news",40,138,131,0.289855072,0.305343511,"2020+2",1658,0.0241254523522316,"JAN"
"January","covid-onset",2,75,131,0.026666667,0.015267176,"2020+2",1658,0.00120627261761158,"JAN"
"January","domestic",6,52,131,0.115384615,0.045801527,"2020+2",1658,0.00361881785283474,"JAN"
"January","election",6,112,131,0.053571429,0.045801527,"2020+2",1658,0.00361881785283474,"JAN"
"January","occupation",19,350,131,0.054285714,0.145038168,"2020+2",1658,0.01145958986731,"JAN"
"January","social",22,302,131,0.072847682,0.167938931,"2020+2",1658,0.0132689987937274,"JAN"
"July","covid",14,426,70,0.03286385,0.2,"2020+2",1658,0.00844390832328106,"JUL"
"July","covid-onset",2,75,70,0.026666667,0.028571429,"2020+2",1658,0.00120627261761158,"JUL"
"July","domestic",3,52,70,0.057692308,0.042857143,"2020+2",1658,0.00180940892641737,"JUL"
"July","election",2,112,70,0.017857143,0.028571429,"2020+2",1658,0.00120627261761158,"JUL"
"July","occupation",12,350,70,0.034285714,0.171428571,"2020+2",1658,0.00723763570566948,"JUL"
"July","social",26,302,70,0.086092715,0.371428571,"2020+2",1658,0.0156815440289505,"JUL"
"June","covid",20,426,95,0.046948357,0.210526316,"2020+2",1658,0.0120627261761158,"JUN"
"June","covid-news",3,138,95,0.02173913,0.031578947,"2020+2",1658,0.00180940892641737,"JUN"
"June","covid-onset",1,75,95,0.013333333,0.010526316,"2020+2",1658,0.00060313630880579,"JUN"
"June","domestic",2,52,95,0.038461538,0.021052632,"2020+2",1658,0.00120627261761158,"JUN"
"June","election",5,112,95,0.044642857,0.052631579,"2020+2",1658,0.00301568154402895,"JUN"
