"date","topic","entryCount","topic_totalCount","topic_monthCount","topic_propTopic","topic_propMonth","set","entryCount_total","topic_propTotal","datePlot"
"June","capitol-attack",5,147,160,0.034013605,0.03125,"2021",2315,0.00215982721382289,"JUN"
"June","covid",26,341,160,0.076246334,0.1625,"2021",2315,0.011231101511879,"JUN"
"June","covid-vaccine",34,583,160,0.058319039,0.2125,"2021",2315,0.0146868250539957,"JUN"
"June","domestic",3,56,160,0.053571429,0.01875,"2021",2315,0.00129589632829374,"JUN"
"June","education",5,129,160,0.03875969,0.03125,"2021",2315,0.00215982721382289,"JUN"
"June","occupation",27,285,160,0.094736842,0.16875,"2021",2315,0.0116630669546436,"JUN"
"June","social",45,584,160,0.077054795,0.28125,"2021",2315,0.019438444924406,"JUN"
"March","capitol-attack",3,147,158,0.020408163,0.018987342,"2021",2315,0.00129589632829374,"MAR"
"March","covid",26,341,158,0.076246334,0.164556962,"2021",2315,0.011231101511879,"MAR"
"March","covid-vaccine",73,583,158,0.125214408,0.462025316,"2021",2315,0.0315334773218143,"MAR"
"March","domestic",5,56,158,0.089285714,0.03164557,"2021",2315,0.00215982721382289,"MAR"
"March","education",4,129,158,0.031007752,0.025316456,"2021",2315,0.00172786177105832,"MAR"
"March","occupation",17,285,158,0.059649123,0.107594937,"2021",2315,0.00734341252699784,"MAR"
"March","social",21,584,158,0.035958904,0.132911392,"2021",2315,0.00907127429805616,"MAR"
"May","capitol-attack",7,147,164,0.047619048,0.042682927,"2021",2315,0.00302375809935205,"MAY"
"May","covid",15,341,164,0.04398827,0.091463415,"2021",2315,0.00647948164146868,"MAY"
"May","covid-vaccine",53,583,164,0.090909091,0.323170732,"2021",2315,0.0228941684665227,"MAY"
"May","domestic",4,56,164,0.071428571,0.024390244,"2021",2315,0.00172786177105832,"MAY"
"May","education",13,129,164,0.100775194,0.079268293,"2021",2315,0.00561555075593952,"MAY"
"May","occupation",17,285,164,0.059649123,0.103658537,"2021",2315,0.00734341252699784,"MAY"
"May","social",40,584,164,0.068493151,0.243902439,"2021",2315,0.0172786177105832,"MAY"
"November","capitol-attack",5,147,235,0.034013605,0.021276596,"2021",2315,0.00215982721382289,"NOV"
"November","covid",25,341,235,0.073313783,0.106382979,"2021",2315,0.0107991360691145,"NOV"
"November","covid-vaccine",56,583,235,0.096054889,0.238297872,"2021",2315,0.0241900647948164,"NOV"
"November","domestic",6,56,235,0.107142857,0.025531915,"2021",2315,0.00259179265658747,"NOV"
"November","education",6,129,235,0.046511628,0.025531915,"2021",2315,0.00259179265658747,"NOV"
"November","occupation",19,285,235,0.066666667,0.080851064,"2021",2315,0.008207343412527,"NOV"
"November","social",92,584,235,0.157534247,0.391489362,"2021",2315,0.0397408207343413,"NOV"
"October","capitol-attack",3,147,166,0.020408163,0.018072289,"2021",2315,0.00129589632829374,"OCT"
"October","covid",30,341,166,0.08797654,0.180722892,"2021",2315,0.0129589632829374,"OCT"
"October","covid-vaccine",23,583,166,0.039451115,0.138554217,"2021",2315,0.00993520518358531,"OCT"
"October","domestic",6,56,166,0.107142857,0.036144578,"2021",2315,0.00259179265658747,"OCT"
"October","education",11,129,166,0.085271318,0.06626506,"2021",2315,0.00475161987041037,"OCT"
"October","occupation",18,285,166,0.063157895,0.108433735,"2021",2315,0.00777537796976242,"OCT"
"October","social",63,584,166,0.107876712,0.379518072,"2021",2315,0.0272138228941685,"OCT"
"September","capitol-attack",1,147,159,0.006802721,0.006289308,"2021",2315,0.000431965442764579,"SEP"
"September","covid",24,341,159,0.070381232,0.150943396,"2021",2315,0.0103671706263499,"SEP"
"September","covid-vaccine",35,583,159,0.060034305,0.220125786,"2021",2315,0.0151187904967603,"SEP"
"September","domestic",3,56,159,0.053571429,0.018867925,"2021",2315,0.00129589632829374,"SEP"
"September","education",23,129,159,0.178294574,0.144654088,"2021",2315,0.00993520518358531,"SEP"
"September","occupation",22,285,159,0.077192982,0.13836478,"2021",2315,0.00950323974082073,"SEP"
"September","social",37,584,159,0.063356164,0.232704403,"2021",2315,0.0159827213822894,"SEP"
