"subject","event","month","response","error","absError","covid"
171,"trumpFraud","November",12,1,1,0
171,"baldwin","December",11,-1,1,0
171,"secondStim","December",10,-2,2,0
172,"kobe","January",3,2,2,0
172,"soleimani","January",8,7,7,0
172,"covid","March",3,0,0,1
172,"firstStim","March",4,1,1,0
172,"georgeFloyd","May",5,0,0,0
172,"olsenDivorce","May",8,3,3,0
172,"BLM","June",5,-1,1,0
172,"jadaSmith","July",1,-6,6,0
172,"nayaRivera","July",1,-6,6,0
172,"falwell","August",1,-7,7,0
172,"trumpInterview","September",12,3,3,0
172,"RBG","September",6,-3,3,0
172,"presDebates","October",10,0,0,0
172,"presBiden","November",11,0,0,0
172,"trumpFraud","November",11,0,0,0
172,"baldwin","December",1,-11,11,0
172,"secondStim","December",10,-2,2,0
173,"kobe","January",6,5,5,0
173,"covid","March",3,0,0,1
173,"firstStim","March",4,1,1,0
173,"borisJCovid","April",8,4,4,0
173,"georgeFloyd","May",3,-2,2,0
173,"olsenDivorce","May",7,2,2,0
173,"BLM","June",4,-2,2,0
173,"barronTrump","June",10,4,4,0
173,"nayaRivera","July",7,0,0,0
173,"trumpInterview","September",6,-3,3,0
173,"RBG","September",9,0,0,0
173,"presDebates","October",8,-2,2,0
173,"presBiden","November",11,0,0,0
173,"trumpFraud","November",11,0,0,0
173,"secondStim","December",8,-4,4,0
174,"kobe","January",1,0,0,0
174,"primaryNH","February",8,6,6,0
174,"covid","March",2,-1,1,1
174,"firstStim","March",4,1,1,0
174,"borisJCovid","April",6,2,2,0
174,"georgeFloyd","May",6,1,1,0
174,"olsenDivorce","May",8,3,3,0
174,"BLM","June",7,1,1,0
174,"RBG","September",5,-4,4,0
174,"presDebates","October",5,-5,5,0
174,"presBiden","November",12,1,1,0
174,"trumpFraud","November",12,1,1,0
174,"secondStim","December",3,-9,9,0
175,"kobe","January",9,8,8,0
175,"soleimani","January",8,7,7,0
175,"primaryNH","February",11,9,9,0
175,"covid","March",3,0,0,1
175,"firstStim","March",9,6,6,0
175,"borisJCovid","April",9,5,5,0
175,"georgeFloyd","May",9,4,4,0
175,"BLM","June",8,2,2,0
175,"jadaSmith","July",6,-1,1,0
175,"nayaRivera","July",8,1,1,0
175,"trumpInterview","September",8,-1,1,0
175,"RBG","September",8,-1,1,0
175,"presDebates","October",8,-2,2,0
175,"presBiden","November",11,0,0,0
175,"trumpFraud","November",11,0,0,0
175,"baldwin","December",7,-5,5,0
176,"kobe","January",12,11,11,0
176,"covid","March",3,0,0,1
176,"firstStim","March",4,1,1,0
176,"borisJCovid","April",7,3,3,0
176,"georgeFloyd","May",5,0,0,0
176,"BLM","June",5,-1,1,0
176,"nayaRivera","July",8,1,1,0
176,"trumpInterview","September",8,-1,1,0
176,"RBG","September",9,0,0,0
176,"presDebates","October",8,-2,2,0
176,"presBiden","November",11,0,0,0
176,"trumpFraud","November",11,0,0,0
176,"secondStim","December",7,-5,5,0
177,"kobe","January",8,7,7,0
177,"caucusNV","February",4,2,2,0
177,"primaryNH","February",2,0,0,0
177,"covid","March",5,2,2,1
177,"firstStim","March",5,2,2,0
177,"georgeFloyd","May",4,-1,1,0
177,"BLM","June",3,-3,3,0
177,"barronTrump","June",9,3,3,0
177,"RBG","September",7,-2,2,0
177,"toobinZoom","October",8,-2,2,0
177,"presDebates","October",3,-7,7,0
177,"presBiden","November",9,-2,2,0
177,"trumpFraud","November",11,0,0,0
177,"secondStim","December",7,-5,5,0
178,"kobe","January",4,3,3,0
178,"covid","March",2,-1,1,1
178,"borisJCovid","April",7,3,3,0
178,"georgeFloyd","May",3,-2,2,0
178,"BLM","June",3,-3,3,0
178,"RBG","September",3,-6,6,0
178,"presDebates","October",10,0,0,0
178,"presBiden","November",11,0,0,0
178,"trumpFraud","November",11,0,0,0
178,"secondStim","December",4,-8,8,0
179,"kobe","January",7,6,6,0
179,"soleimani","January",3,2,2,0
179,"caucusNV","February",9,7,7,0
179,"primaryNH","February",9,7,7,0
179,"covid","March",3,0,0,1
179,"firstStim","March",5,2,2,0
179,"borisJCovid","April",6,2,2,0
179,"NFL","April",9,5,5,0
179,"georgeFloyd","May",7,2,2,0
179,"BLM","June",7,1,1,0
179,"jadaSmith","July",4,-3,3,0
179,"trumpInterview","September",4,-5,5,0
179,"RBG","September",8,-1,1,0
179,"presDebates","October",9,-1,1,0
179,"presBiden","November",11,0,0,0
179,"trumpFraud","November",2,-9,9,0
179,"secondStim","December",5,-7,7,0
180,"kobe","January",3,2,2,0
180,"soleimani","January",1,0,0,0
180,"caucusNV","February",9,7,7,0
180,"covid","March",3,0,0,1
180,"firstStim","March",7,4,4,0
180,"borisJCovid","April",8,4,4,0
180,"georgeFloyd","May",5,0,0,0
180,"BLM","June",6,0,0,0
180,"RBG","September",12,3,3,0
180,"presDebates","October",11,1,1,0
180,"presBiden","November",11,0,0,0
180,"trumpFraud","November",12,1,1,0
180,"secondStim","December",1,-11,11,0
181,"kobe","January",6,5,5,0
181,"covid","March",8,5,5,1
181,"firstStim","March",9,6,6,0
181,"NFL","April",8,4,4,0
181,"georgeFloyd","May",4,-1,1,0
181,"BLM","June",5,-1,1,0
181,"jadaSmith","July",7,0,0,0
181,"thomBrenn","August",11,3,3,0
181,"trumpInterview","September",7,-2,2,0
181,"RBG","September",3,-6,6,0
181,"presDebates","October",11,1,1,0
181,"presBiden","November",12,1,1,0
181,"trumpFraud","November",12,1,1,0
181,"secondStim","December",10,-2,2,0
182,"kobe","January",9,8,8,0
182,"soleimani","January",5,4,4,0
182,"covid","March",3,0,0,1
182,"firstStim","March",8,5,5,0
182,"borisJCovid","April",10,6,6,0
182,"georgeFloyd","May",5,0,0,0
182,"BLM","June",5,-1,1,0
182,"jadaSmith","July",7,0,0,0
182,"RBG","September",12,3,3,0
182,"presDebates","October",10,0,0,0
182,"presBiden","November",11,0,0,0
182,"trumpFraud","November",11,0,0,0
182,"secondStim","December",12,0,0,0
183,"kobe","January",1,0,0,0
183,"soleimani","January",4,3,3,0
183,"covid","March",2,-1,1,1
183,"firstStim","March",8,5,5,0
183,"borisJCovid","April",7,3,3,0
183,"georgeFloyd","May",7,2,2,0
183,"BLM","June",7,1,1,0
183,"jadaSmith","July",7,0,0,0
183,"presDebates","October",5,-5,5,0
183,"presBiden","November",11,0,0,0
183,"trumpFraud","November",11,0,0,0
183,"secondStim","December",8,-4,4,0
184,"soleimani","January",9,8,8,0
184,"caucusNV","February",12,10,10,0
184,"primaryNH","February",12,10,10,0
184,"covid","March",2,-1,1,1
184,"firstStim","March",7,4,4,0
184,"borisJCovid","April",4,0,0,0
184,"georgeFloyd","May",4,-1,1,0
184,"BLM","June",6,0,0,0
184,"trumpInterview","September",5,-4,4,0
184,"presDebates","October",12,2,2,0
184,"presBiden","November",12,1,1,0
184,"trumpFraud","November",1,-10,10,0
184,"secondStim","December",11,-1,1,0
185,"kobe","January",1,0,0,0
185,"soleimani","January",9,8,8,0
185,"caucusNV","February",8,6,6,0
185,"primaryNH","February",11,9,9,0
185,"covid","March",3,0,0,1
185,"firstStim","March",4,1,1,0
185,"georgeFloyd","May",6,1,1,0
185,"BLM","June",6,0,0,0
185,"RBG","September",5,-4,4,0
185,"presDebates","October",9,-1,1,0
185,"presBiden","November",11,0,0,0
185,"trumpFraud","November",11,0,0,0
185,"secondStim","December",5,-7,7,0
186,"kobe","January",1,0,0,0
186,"soleimani","January",1,0,0,0
186,"covid","March",3,0,0,1
186,"firstStim","March",11,8,8,0
186,"borisJCovid","April",7,3,3,0
186,"georgeFloyd","May",5,0,0,0
186,"BLM","June",7,1,1,0
186,"barronTrump","June",11,5,5,0
186,"jadaSmith","July",7,0,0,0
186,"presDebates","October",9,-1,1,0
186,"presBiden","November",11,0,0,0
186,"trumpFraud","November",11,0,0,0
186,"secondStim","December",12,0,0,0
187,"kobe","January",1,0,0,0
187,"soleimani","January",1,0,0,0
187,"covid","March",3,0,0,1
187,"firstStim","March",9,6,6,0
187,"borisJCovid","April",7,3,3,0
187,"georgeFloyd","May",5,0,0,0
187,"BLM","June",6,0,0,0
187,"jadaSmith","July",7,0,0,0
187,"presDebates","October",9,-1,1,0
187,"presBiden","November",11,0,0,0
187,"secondStim","December",11,-1,1,0
188,"kobe","January",6,5,5,0
188,"soleimani","January",8,7,7,0
188,"caucusNV","February",9,7,7,0
188,"primaryNH","February",9,7,7,0
188,"covid","March",3,0,0,1
188,"firstStim","March",6,3,3,0
188,"borisJCovid","April",7,3,3,0
188,"georgeFloyd","May",4,-1,1,0
188,"BLM","June",5,-1,1,0
188,"barronTrump","June",6,0,0,0
188,"jadaSmith","July",11,4,4,0
188,"nayaRivera","July",7,0,0,0
188,"trumpInterview","September",8,-1,1,0
188,"RBG","September",8,-1,1,0
188,"presDebates","October",11,1,1,0
188,"presBiden","November",12,1,1,0
188,"trumpFraud","November",10,-1,1,0
188,"secondStim","December",8,-4,4,0
189,"kobe","January",2,1,1,0
189,"caucusNV","February",2,0,0,0
189,"primaryNH","February",2,0,0,0
189,"covid","March",3,0,0,1
189,"firstStim","March",6,3,3,0
189,"borisJCovid","April",7,3,3,0
189,"georgeFloyd","May",5,0,0,0
189,"BLM","June",6,0,0,0
189,"barronTrump","June",5,-1,1,0
189,"jadaSmith","July",5,-2,2,0
189,"thomBrenn","August",4,-4,4,0
189,"RBG","September",9,0,0,0
189,"toobinZoom","October",6,-4,4,0
189,"presDebates","October",9,-1,1,0
189,"presBiden","November",11,0,0,0
189,"trumpFraud","November",11,0,0,0
189,"baldwin","December",4,-8,8,0
189,"secondStim","December",9,-3,3,0
190,"kobe","January",9,8,8,0
190,"soleimani","January",1,0,0,0
190,"caucusNV","February",2,0,0,0
190,"primaryNH","February",8,6,6,0
190,"covid","March",3,0,0,1
190,"firstStim","March",6,3,3,0
190,"NFL","April",4,0,0,0
190,"georgeFloyd","May",1,-4,4,0
190,"BLM","June",6,0,0,0
190,"jadaSmith","July",6,-1,1,0
190,"nayaRivera","July",7,0,0,0
190,"falwell","August",4,-4,4,0
190,"thomBrenn","August",8,0,0,0
190,"RBG","September",4,-5,5,0
190,"toobinZoom","October",6,-4,4,0
190,"presDebates","October",11,1,1,0
190,"presBiden","November",11,0,0,0
190,"trumpFraud","November",11,0,0,0
190,"secondStim","December",9,-3,3,0
191,"kobe","January",7,6,6,0
191,"soleimani","January",6,5,5,0
191,"caucusNV","February",11,9,9,0
191,"primaryNH","February",11,9,9,0
191,"covid","March",8,5,5,1
191,"firstStim","March",4,1,1,0
191,"borisJCovid","April",12,8,8,0
191,"georgeFloyd","May",5,0,0,0
191,"BLM","June",5,-1,1,0
191,"trumpInterview","September",2,-7,7,0
191,"RBG","September",9,0,0,0
191,"presDebates","October",10,0,0,0
191,"presBiden","November",11,0,0,0
191,"trumpFraud","November",11,0,0,0
191,"secondStim","December",10,-2,2,0
192,"kobe","January",2,1,1,0
192,"covid","March",3,0,0,1
192,"firstStim","March",5,2,2,0
192,"borisJCovid","April",2,-2,2,0
192,"georgeFloyd","May",1,-4,4,0
192,"BLM","June",7,1,1,0
192,"trumpInterview","September",10,1,1,0
192,"RBG","September",4,-5,5,0
192,"presDebates","October",9,-1,1,0
192,"presBiden","November",11,0,0,0
192,"trumpFraud","November",11,0,0,0
192,"secondStim","December",8,-4,4,0
193,"kobe","January",3,2,2,0
193,"covid","March",2,-1,1,1
193,"firstStim","March",2,-1,1,0
193,"georgeFloyd","May",4,-1,1,0
193,"BLM","June",7,1,1,0
193,"jadaSmith","July",10,3,3,0
193,"RBG","September",6,-3,3,0
193,"presDebates","October",8,-2,2,0
193,"presBiden","November",11,0,0,0
193,"trumpFraud","November",12,1,1,0
193,"secondStim","December",5,-7,7,0
194,"kobe","January",1,0,0,0
194,"soleimani","January",2,1,1,0
194,"covid","March",3,0,0,1
194,"firstStim","March",4,1,1,0
194,"borisJCovid","April",4,0,0,0
194,"georgeFloyd","May",6,1,1,0
194,"BLM","June",7,1,1,0
194,"jadaSmith","July",8,1,1,0
194,"nayaRivera","July",7,0,0,0
194,"trumpInterview","September",8,-1,1,0
194,"RBG","September",9,0,0,0
194,"presDebates","October",9,-1,1,0
194,"presBiden","November",11,0,0,0
194,"trumpFraud","November",11,0,0,0
194,"secondStim","December",8,-4,4,0
195,"kobe","January",2,1,1,0
195,"soleimani","January",7,6,6,0
195,"caucusNV","February",2,0,0,0
195,"primaryNH","February",3,1,1,0
195,"covid","March",5,2,2,1
195,"firstStim","March",4,1,1,0
195,"borisJCovid","April",9,5,5,0
195,"NFL","April",7,3,3,0
195,"georgeFloyd","May",4,-1,1,0
195,"BLM","June",6,0,0,0
195,"nayaRivera","July",8,1,1,0
195,"falwell","August",7,-1,1,0
195,"RBG","September",8,-1,1,0
195,"presDebates","October",9,-1,1,0
195,"presBiden","November",11,0,0,0
195,"trumpFraud","November",11,0,0,0
195,"secondStim","December",8,-4,4,0
196,"kobe","January",7,6,6,0
196,"soleimani","January",8,7,7,0
196,"covid","March",1,-2,2,1
196,"firstStim","March",3,0,0,0
196,"borisJCovid","April",3,-1,1,0
196,"georgeFloyd","May",4,-1,1,0
196,"BLM","June",4,-2,2,0
196,"trumpInterview","September",6,-3,3,0
196,"presBiden","November",1,-10,10,0
196,"trumpFraud","November",2,-9,9,0
196,"secondStim","December",7,-5,5,0
197,"kobe","January",3,2,2,0
197,"soleimani","January",2,1,1,0
197,"caucusNV","February",5,3,3,0
197,"primaryNH","February",5,3,3,0
197,"covid","March",3,0,0,1
197,"firstStim","March",5,2,2,0
197,"borisJCovid","April",7,3,3,0
197,"georgeFloyd","May",6,1,1,0
197,"BLM","June",6,0,0,0
197,"nayaRivera","July",2,-5,5,0
197,"trumpInterview","September",12,3,3,0
197,"RBG","September",2,-7,7,0
197,"presDebates","October",9,-1,1,0
197,"presBiden","November",11,0,0,0
197,"trumpFraud","November",11,0,0,0
197,"secondStim","December",12,0,0,0
198,"kobe","January",2,1,1,0
198,"soleimani","January",5,4,4,0
198,"caucusNV","February",3,1,1,0
198,"primaryNH","February",2,0,0,0
198,"covid","March",4,1,1,1
198,"firstStim","March",5,2,2,0
198,"borisJCovid","April",8,4,4,0
198,"NFL","April",6,2,2,0
198,"georgeFloyd","May",5,0,0,0
198,"BLM","June",5,-1,1,0
198,"falwell","August",7,-1,1,0
198,"trumpInterview","September",5,-4,4,0
198,"RBG","September",9,0,0,0
198,"presDebates","October",10,0,0,0
198,"presBiden","November",11,0,0,0
198,"trumpFraud","November",11,0,0,0
198,"secondStim","December",8,-4,4,0
199,"kobe","January",5,4,4,0
199,"soleimani","January",7,6,6,0
199,"covid","March",3,0,0,1
199,"firstStim","March",4,1,1,0
199,"borisJCovid","April",5,1,1,0
199,"georgeFloyd","May",7,2,2,0
199,"BLM","June",9,3,3,0
199,"barronTrump","June",9,3,3,0
199,"jadaSmith","July",6,-1,1,0
199,"RBG","September",9,0,0,0
199,"presDebates","October",11,1,1,0
199,"presBiden","November",1,-10,10,0
199,"trumpFraud","November",12,1,1,0
199,"secondStim","December",8,-4,4,0
200,"kobe","January",1,0,0,0
200,"soleimani","January",1,0,0,0
200,"caucusNV","February",5,3,3,0
200,"covid","March",9,6,6,1
200,"firstStim","March",5,2,2,0
200,"borisJCovid","April",7,3,3,0
200,"NFL","April",8,4,4,0
200,"georgeFloyd","May",5,0,0,0
200,"BLM","June",10,4,4,0
200,"barronTrump","June",11,5,5,0
200,"jadaSmith","July",7,0,0,0
200,"falwell","August",5,-3,3,0
200,"trumpInterview","September",5,-4,4,0
200,"RBG","September",9,0,0,0
200,"presDebates","October",10,0,0,0
200,"presBiden","November",11,0,0,0
200,"trumpFraud","November",9,-2,2,0
200,"secondStim","December",12,0,0,0
