"subject","event","month","response","error","absError","covid"
10,"borisJCovid","April",9,5,5,0
10,"NFL","April",7,3,3,0
10,"georgeFloyd","May",3,-2,2,0
10,"BLM","June",5,-1,1,0
10,"jadaSmith","July",2,-5,5,0
10,"trumpInterview","September",5,-4,4,0
10,"RBG","September",6,-3,3,0
10,"presDebates","October",1,-9,9,0
10,"presBiden","November",11,0,0,0
10,"trumpFraud","November",12,1,1,0
10,"secondStim","December",9,-3,3,0
11,"kobe","January",2,1,1,0
11,"caucusNV","February",3,1,1,0
11,"primaryNH","February",2,0,0,0
11,"covid","March",3,0,0,1
11,"firstStim","March",5,2,2,0
11,"georgeFloyd","May",5,0,0,0
11,"BLM","June",6,0,0,0
11,"jadaSmith","July",9,2,2,0
11,"thomBrenn","August",6,-2,2,0
