"subject","pair","event1","event2","actualDist","value","bothMem","respProp","actProp","propDiff","propAbsDiff","shortFactor","lockdownFactor","event1_month","event2_month","eventDiff","pairOrder","avgMem","avgSurp","avgPos","avgNeg","covidFactor"
14,"georgeFloyd trumpFraud","georgeFloyd","trumpFraud",166,90,1,0.9,0.454794520547945,0.445205479452055,0.445205479452055,1,"al",5,12,7,1,85,40,0,100,NA
14,"kobe covid","kobe","covid",44,30,1,0.3,0.120547945205479,0.179452054794521,0.179452054794521,0,"bl",3,4,1,1,90,70,0,75,"bc"
14,"kobe firstStim","kobe","firstStim",60,60,1,0.6,0.164383561643836,0.435616438356164,0.435616438356164,0,"bl",3,6,3,1,65,60,15,37.5,"bc"
14,"kobe RBG","kobe","RBG",235,50,0,0.5,0.643835616438356,-0.143835616438356,0.143835616438356,1,"l",3,NA,NA,NA,40,50,0,37.5,NA
14,"RBG presBiden","RBG","presBiden",51,50,0,0.5,0.13972602739726,0.36027397260274,0.36027397260274,0,"al",NA,12,NA,NA,50,25,50,0,"ac"
14,"soleimani BLM","soleimani","BLM",148,60,0,0.6,0.405479452054795,0.194520547945205,0.194520547945205,1,"l",NA,5,NA,NA,37.5,5,0,0,NA
14,"soleimani covid","soleimani","covid",67,50,0,0.5,0.183561643835616,0.316438356164384,0.316438356164384,0,"bl",NA,4,NA,NA,50,20,0,37.5,"bc"
140,"covid BLM","covid","BLM",82,79,1,0.79,0.224657534246575,0.565342465753425,0.565342465753425,0,"l",3,7,4,1,95.5,53,24.5,74.5,"ac"
140,"covid presBiden","covid","presBiden",241,79,1,0.79,0.66027397260274,0.12972602739726,0.12972602739726,1,"l",3,11,8,1,90.5,59,50,50,NA
140,"firstStim georgeFloyd","firstStim","georgeFloyd",59,30,1,0.3,0.161643835616438,0.138356164383562,0.138356164383562,0,"l",6,7,1,1,100,48,50,50,"ac"
140,"georgeFloyd RBG","georgeFloyd","RBG",116,72,1,0.72,0.317808219178082,0.402191780821918,0.402191780821918,1,"al",7,5,-2,0,81,69,0,100,NA
140,"georgeFloyd trumpFraud","georgeFloyd","trumpFraud",166,34,1,0.34,0.454794520547945,-0.114794520547945,0.114794520547945,1,"al",7,11,4,1,99,32,0,95.5,NA
140,"kobe covid","kobe","covid",44,61,1,0.61,0.120547945205479,0.489452054794521,0.489452054794521,0,"bl",6,3,-3,0,91,100,0,100,"bc"
140,"kobe firstStim","kobe","firstStim",60,51,1,0.51,0.164383561643836,0.345616438356164,0.345616438356164,0,"bl",6,6,0,1,91,74,50,50,"bc"
140,"kobe RBG","kobe","RBG",235,13,1,0.13,0.643835616438356,-0.513835616438356,0.513835616438356,1,"l",6,5,-1,0,72,95,0,100,NA
140,"RBG presBiden","RBG","presBiden",51,40,1,0.4,0.13972602739726,0.26027397260274,0.26027397260274,0,"al",5,11,6,1,71.5,54,50,50,"ac"
140,"soleimani BLM","soleimani","BLM",148,51,0,0.51,0.405479452054795,0.104520547945205,0.104520547945205,1,"l",NA,7,NA,NA,45.5,3,24.5,24.5,NA
140,"soleimani covid","soleimani","covid",67,51,0,0.51,0.183561643835616,0.326438356164384,0.326438356164384,0,"bl",NA,3,NA,NA,50,50,0,50,"bc"
141,"covid BLM","covid","BLM",82,30,1,0.3,0.224657534246575,0.0753424657534247,0.0753424657534247,0,"l",3,7,4,1,78,31,15,40.5,"ac"
141,"covid presBiden","covid","presBiden",241,90,1,0.9,0.66027397260274,0.23972602739726,0.23972602739726,1,"l",3,11,8,1,85,56,25,25.5,NA
141,"firstStim georgeFloyd","firstStim","georgeFloyd",59,40,1,0.4,0.161643835616438,0.238356164383562,0.238356164383562,0,"l",8,7,-1,0,83,29,15,36,"ac"
